"KabupatenKota","Kasus_Aktif_10Mei2020","Kasus_Aktif_13Mei2020","Kasus_Aktif_1Juni2020","Kasus_Aktif_12Juni2020","Kasus_Aktif_3Juli2020","Kasus_Aktif_20Agustus2020","Kasus_Aktif_1September2020","Kasus_Aktif_1Oktober2020","Kasus_Aktif_19Oktober2020","Total_Sembuh","Total_Kematian","Rt_Hasan_10Mei2020","Rt_Hasan_13Mei2020","Rt_Hasan_1Juni2020","Rt_Hasan_12Juni2020","Rt_Hasan_3Juli2020","Rt_Hasan_20Agustus2020","Rt_Hasan_1September2020","Rt_Hasan_1Oktober2020","Rt_Hasan_19Oktober2020"
"KAB. BANDUNG BARAT",-0.259857246328423,-0.257920404040676,-0.228990735786463,-0.298505058520001,-0.361502633917786,-0.269047921554481,-0.281949589463664,-0.460518097968181,-0.421517055911708,-0.505739189027315,-0.559121490415512,1.06969724457666,0.322311629883663,0.315239625248045,-0.817446049660255,0.27218850162886,-0.681426997115022,0.523841428067144,2.03249153697456,0.26350170473648
"KAB. BANDUNG",-0.0565216171904505,-0.0458751706791716,-0.00915962943145852,-0.169306674095173,-0.197701440457943,0.0114631946526972,-0.137145849689733,-0.344168119152898,-0.342847319959634,-0.0864858443519901,-0.24982024039842,-0.185938715746232,0.0950092407945152,-0.373496131088754,-1.00060662790917,-0.746925303400808,-1.30304333473831,-0.935268381339313,-0.378533920443346,0.938909953561928
"KAB. BEKASI",0.405604812668579,0.501908348838048,0.586216283613345,0.209060023148966,-0.174301269963679,0.0494490749724192,0.964396885019101,1.66128242479051,1.341059647205,1.86936586334953,0.987384759669947,0.784237240329609,1.32775825550435,-0.46276422835217,0.886043538533654,-1.21076296915323,-0.113144442551874,-0.510528492428672,0.23806049112487,-0.360339514135791
"KAB. BOGOR",0.682880670583996,0.581425311348612,0.961761090303145,1.38107393900276,1.60411168760033,0.683521077232394,0.791149553503862,1.8537887533758,2.04534109287119,0.513016562998475,-0.215453434840966,0.0468852757381263,-0.499677345548313,0.00802726706135338,-0.829068032615486,0.0837922897827083,-0.686058719356589,-0.607145771897094,0.15180218768908,0.465414329724858
"KAB. CIAMIS",-0.537133104243841,-0.540647381856015,-0.567897024750428,-0.529216459278622,-0.470703429557682,-0.458977323153091,-0.506912542326736,-0.57052171430263,-0.588221972572056,-0.625241330027408,-0.593488295972967,0.259185308644695,-0.0799886434728417,0.513474923407647,0.345075919499891,0.395248993360602,-0.990434580513343,0.282631176349762,1.51157073294891,-1.545890594751
"KAB. CIANJUR",-0.509405518452299,-0.487636073515639,-0.485460359867302,-0.464617267066208,-0.384902804412049,-0.391771534895121,-0.442268015641945,-0.623408068309576,-0.646287730060491,-0.627233032377409,-0.696588712645331,1.75413282367134,2.4096511154411,1.49729149004733,-0.263047189949237,0.0601448728593587,-0.00775746980788389,0.166671064753214,-0.693570666002171,-0.552633227118915
"KAB. CIREBON",-0.500162989855119,-0.522976945742557,-0.512939248161677,-0.455388811035863,-0.416103031737734,-0.333331719018626,-0.390552394294113,0.133924521069899,-0.26043140610508,0.0808171530481396,1.22795239857213,1.07010208141227,0.313219034253923,1.90836343539438,1.57359044869472,0.310640733367002,-0.830104874669882,-0.901827858355005,-0.130185094328879,-0.578595188019619
"KAB. GARUT",-0.463192875466396,-0.46996563740218,-0.531258507024594,-0.492302635157243,-0.478503486389103,-0.359629636163049,-0.429339110304987,-0.513404451975127,-0.575110349913377,-0.478851207302294,-0.31855385151333,0.59547080386679,0.0510330176104352,-0.0889599532732555,0.592424110946327,-0.504641877607953,0.410493917130457,-0.902827372784033,0.828357221779451,-0.228089419155176
"KAB. INDRAMAYU",-0.509405518452299,-0.505306509629098,-0.485460359867302,-0.455388811035863,-0.338102463423523,-0.441445378390142,-0.499155199124561,-0.60013807254652,-0.650033907962971,-0.569473664227364,-0.524754684858058,0.896763101807817,0.592756877317365,0.94181346584663,0.682321664982516,0.203534953648186,-0.588909483707145,-0.868995735047391,-0.569423222101651,-1.25679346168281
"KAB. KARAWANG",-0.574103218632563,-0.575988254082933,-0.613695171907721,-0.603044107521381,-0.439503202231997,-0.333331719018626,-0.25867755985714,-0.0437736283934419,-0.00569130873645959,0.0668752365981288,0.506249481865582,-1.16123312107196,-1.21934607986084,2.12932585052888,1.03705093404057,1.61160499590527,0.50850553089609,1.59287219434757,-0.243455672333556,-0.167694494544405
"KAB. KUNINGAN",-0.546375632841022,-0.549482599912745,-0.512939248161677,-0.510759547217932,-0.478503486389103,-0.418069452039544,-0.421581767102812,-0.28281994850484,0.243429521778442,-0.410137476227241,-0.524754684858058,0.0844933992918917,-0.167312702589657,0.992628986979119,-0.50998408913099,0.335086997286766,-1.29958449969033,0.411154421202833,3.04210075725472,-1.109921911113
"KAB. MAJALENGKA",-0.564860690035383,-0.575988254082933,-0.586216283613345,-0.566130283400001,-0.540903941040472,-0.406381488864245,-0.45002535884412,-0.623408068309576,-0.571364172010897,-0.575448771277369,-0.490387879300603,-1.50354213454744,-1.52280321672432,-0.0918826453781095,-0.103915773945413,-0.806518583156312,0.495940490104564,1.88431878692196,-0.3181927939881,-1.5851772783866
"KAB. PANGANDARAN",-0.564860690035383,-0.567153036026203,-0.595375913044804,-0.547673371339312,-0.439503202231997,-0.438523387596317,-0.478468950585428,-0.682640784797356,-0.678130242231569,-0.64117494882742,-0.76532232376024,-1.90997101650643,-1.8760698859493,-1.17303770181902,0.90593676468653,2.75678040238957,1.30711832746129,2.77020524685062,-0.324626764468756,1.4596696776985
"KAB. PURWAKARTA",-0.407737703883313,-0.408119111005075,-0.457981471572926,-0.529216459278622,-0.470703429557682,-0.289501857111254,-0.33883677294628,-0.633985339110965,-0.595714328377015,-0.475863653777292,-0.524754684858058,1.03356283374322,0.481229409067848,-0.718115282171585,-1.75312985765809,0.254831128744469,0.277197940449811,-0.801469090289146,0.201193566609548,0.917290746112677
"KAB. SUBANG",-0.343040003703049,-0.302096494324323,-0.329746659532507,-0.298505058520001,-0.228901667783627,-0.304111811080378,-0.367280364687588,-0.646678064072633,-0.623810662645613,-0.479847058477295,-0.352920657070784,1.36447307959124,1.77113529988348,-0.0116272299136098,1.29557222188866,-0.516555098155455,2.67974757561128,-0.898161258783545,-0.577485029292292,0.463488295327903
"KAB. SUKABUMI",-0.389252646688952,-0.381613456834887,-0.412183324415634,-0.298505058520001,-0.330302406592102,-0.426835424421018,-0.475883169518036,-0.418209014762623,-0.363451298423273,-0.444992267352268,-0.627855101530422,1.14009241319865,0.657005345770743,-0.0423121347117546,1.57121759121022,-0.546725996916629,0.0387803520246316,0.942405108740087,0.903596380229675,0.419028408127899
"KAB. SUMEDANG",-0.52789057564666,-0.505306509629098,-0.531258507024594,-0.529216459278622,-0.509703713714787,-0.362551626956873,-0.452611139911512,-0.458402643807903,-0.640668463206772,-0.521672807827327,-0.559121490415512,-0.11844540510944,0.448748888658246,-0.0810720667539004,-0.710224153246652,-0.425212671660542,-0.883993712029374,-0.737310273846733,-0.353756974103158,-1.23359235430908
"KAB. TASIKMALAYA",-0.564860690035383,-0.567153036026203,-0.604535542476263,-0.603044107521381,-0.540903941040472,-0.383005562513647,-0.45002535884412,-0.650908972393188,-0.635049196353052,-0.658104418802433,-0.696588712645331,-1.85841213836984,-1.80359514275708,-2.12241765678711,-1.64561864071195,-0.880315097563659,-0.995863857331826,-1.27254252547685,-0.624926705343446,1.1622608017119
"KOTA BANDUNG",1.04333928587404,1.00551577807162,1.38310404415024,0.947336505576554,0.387302821898641,0.622159270562074,0.395525050192943,0.326430849655184,0.389530459975151,0.621564341073559,0.953017954112492,-0.550398703034499,0.662019780040058,-0.218794534728605,-0.641370192803298,-0.18579818878887,0.41084794325298,-0.844220652660663,-0.736164419431575,0.40529546754993
"KOTA BEKASI",2.83638983372707,2.82557069775787,2.11587439866692,2.59923013500828,2.93792140577334,4.458733182854,4.18369431392168,2.50746408890166,2.04534109287119,3.18787281905055,2.63699142642777,-0.234712474666557,0.0992909918535467,0.0893071685941241,0.00867371392840651,0.353786347809339,0.237864094599454,-0.377655189575947,-0.349829661273164,-0.646762102522344
"KOTA BOGOR",0.174541597739064,0.166170062682333,0.146554070903336,0.384400687725518,0.285902083090166,0.131264817199513,0.157633191992913,0.512590815759636,0.458834751171025,0.392518570823381,0.574983092980491,-0.927220658300204,-0.356008772261534,-0.412314770017943,1.58917508506746,0.151068240526818,0.206157118412634,-0.138006727743509,-0.651241649549613,-0.0139180726036173
"KOTA CIMAHI",-0.102734260176353,-0.0988864790195477,-0.155713700334795,-0.178535130125518,-0.205501497289364,-0.34794167298775,-0.325907867609322,-0.386477202358456,-0.243573605543922,-0.416112583277246,-0.627855101530422,-0.154161888354916,0.0832642725225236,-1.60884114074921,-0.188644477285396,0.0678025162886988,-0.174068705767848,0.475938544387455,0.777315172097726,0.624111056940686
"KOTA CIREBON",-0.555618161438202,-0.558317817969474,-0.55873739531897,-0.566130283400001,-0.400502918074892,-0.415147461245719,-0.387966613226721,-0.426670831403735,-0.505806058717502,-0.506735040202316,-0.181086629283511,-1.19039631653485,-0.942706463986412,1.11411900087817,0.163497159193306,2.19255621749995,-0.636390657614577,0.917595794824309,-1.17185732644121,1.69849762828462
"KOTA DEPOK",3.32624384937764,3.35568378116163,3.59057473713174,3.30982124934484,3.15632299705314,1.21824539250233,1.53844028198004,2.60689043443472,3.00623572485723,2.37027900437491,2.91192587088741,0.162466895685588,0.157926015509941,-0.545342907537591,-0.00863642933684801,-0.139515085809315,-0.406554400410896,0.00622089689701251,-0.405567335441694,0.954882441699557
"KOTA SUKABUMI",-0.0750066743848117,-0.0900512609628184,-0.155713700334795,-0.206220498216552,-0.439503202231997,-0.40345949807042,-0.491397855922386,-0.574752622623185,-0.537648570888579,-0.425075243852252,-0.627855101530422,-0.230386953074419,-0.529098932339442,-0.826377315580044,-0.640097863344144,-1.441924728513,2.45876674878042,0.323669377904274,-0.894237864182922,-1.68568777229855
"KOTA TASIKMALAYA",-0.416980232480493,-0.425789547118534,-0.448821842141468,-0.529216459278622,-0.525303827377629,-0.391771534895121,-0.444853796709337,-0.661486243194578,-0.644414641109251,-0.65412101410243,-0.662221907087876,-0.236742976241115,-0.475751988621996,-0.732235515123025,-1.53878977507532,-1.64417159037182,0.565915696581283,-0.501564711018337,-1.263432947983,1.19274487916396
