"KabupatenKota","Kasus_Aktif_10Mei2020","Kasus_Aktif_13Mei2020","Kasus_Aktif_1Juni2020","Kasus_Aktif_12Juni2020","Kasus_Aktif_3Juli2020","Kasus_Aktif_20Agustus2020","Kasus_Aktif_1September2020","Kasus_Aktif_1Oktober2020","Kasus_Aktif_19Oktober2020","Total_Sembuh","Total_Kematian","Rt_Susanto_10Mei2020","Rt_Susanto_13Mei2020","Rt_Susanto_1Juni2020","Rt_Susanto_12Juni2020","Rt_Susanto_3Juli2020","Rt_Susanto_20Agustus2020","Rt_Susanto_1September2020","Rt_Susanto_1Oktober2020","Rt_Susanto_19Oktober2020"
"KAB. BANDUNG BARAT",-0.259857246328423,-0.257920404040676,-0.228990735786463,-0.298505058520001,-0.361502633917786,-0.269047921554481,-0.281949589463664,-0.460518097968181,-0.421517055911708,-0.505739189027315,-0.559121490415512,-0.359447490206546,-0.440575600046784,-0.289594638623599,-0.452542781893439,-0.232283846822577,-0.59028260405724,-0.205249179814858,1.03478575068773,0.0785534198765519
"KAB. BANDUNG",-0.0565216171904505,-0.0458751706791716,-0.00915962943145852,-0.169306674095173,-0.197701440457943,0.0114631946526972,-0.137145849689733,-0.344168119152898,-0.342847319959634,-0.0864858443519901,-0.24982024039842,-0.670228693140472,-0.686678376635417,-0.585119542884541,-0.955698901235487,-0.757447326595359,-1.49196276300881,-1.52598303253656,-0.357812788925107,-0.24293372443304
"KAB. BEKASI",0.405604812668579,0.501908348838048,0.586216283613345,0.209060023148966,-0.174301269963679,0.0494490749724192,0.964396885019101,1.66128242479051,1.341059647205,1.86936586334953,0.987384759669947,-0.614732049759414,-0.653118907100604,-0.996284627073678,-0.581557171468324,-1.16590781086308,-0.778132637172151,0.00892387738325492,-0.314742730998936,-0.280755741410639
"KAB. BOGOR",0.682880670583996,0.581425311348612,0.961761090303145,1.38107393900276,1.60411168760033,0.683521077232394,0.791149553503862,1.8537887533758,2.04534109287119,0.513016562998475,-0.215453434840966,-0.881115937988493,-0.943967643068989,-0.752155358336378,-0.891191706448045,-1.02002906648175,-1.0974776934675,-0.901311615708726,-0.257315987097376,-0.602242885720231
"KAB. CIAMIS",-0.537133104243841,-0.540647381856015,-0.567897024750428,-0.529216459278622,-0.470703429557682,-0.458977323153091,-0.506912542326736,-0.57052171430263,-0.588221972572056,-0.625241330027408,-0.593488295972967,0.750485377414617,0.80112477274132,1.00814515834836,0.824699674897913,0.584637121712862,2.47167293571581,1.65091731590212,0.618441857401419,-0.413132800832236
"KAB. CIANJUR",-0.509405518452299,-0.487636073515639,-0.485460359867302,-0.464617267066208,-0.384902804412049,-0.391771534895121,-0.442268015641945,-0.623408068309576,-0.646287730060491,-0.627233032377409,-0.696588712645331,0.850379335500523,0.778751793051444,0.455642076469212,0.257036360768423,0.0157100186256813,0.217472538336878,0.276640198880896,0.273881393992057,1.30776897164852
"KAB. CIREBON",-0.500162989855119,-0.522976945742557,-0.512939248161677,-0.455388811035863,-0.416103031737734,-0.333331719018626,-0.390552394294113,0.133924521069899,-0.26043140610508,0.0808171530481396,1.22795239857213,0.517399475214173,0.252986770339364,0.661224618563781,0.502163700960702,0.409582628455268,-0.609067607368731,-0.4729655013125,-1.01822034379305,-1.07501809794022
"KAB. GARUT",-0.463192875466396,-0.46996563740218,-0.531258507024594,-0.492302635157243,-0.478503486389103,-0.359629636163049,-0.429339110304987,-0.513404451975127,-0.575110349913377,-0.478851207302294,-0.31855385151333,0.0179296847846496,0.0628164429754205,0.622677891921049,0.785995358025448,0.497109875084065,-0.0267325047125067,-0.722834068043632,-0.573163078555958,0.210930479298149
"KAB. INDRAMAYU",-0.509405518452299,-0.505306509629098,-0.485460359867302,-0.455388811035863,-0.338102463423523,-0.441445378390142,-0.499155199124561,-0.60013807254652,-0.650033907962971,-0.569473664227364,-0.524754684858058,0.373108202423422,0.499089546927997,0.468490985350123,0.179627727023492,-0.14475660019378,1.41971275027231,0.847768351409198,0.0441744183858155,-0.413132800832236
"KAB. KARAWANG",-0.574103218632563,-0.575988254082933,-0.613695171907721,-0.603044107521381,-0.439503202231997,-0.333331719018626,-0.25867755985714,-0.0437736283934419,-0.00569130873645959,0.0668752365981288,0.506249481865582,1.57183569945428,-2.30871940415141,-2.38396678621202,-2.43936438134665,0.0594736419400799,-0.233367541138909,0.0803148964492923,-0.0419656974665248,-0.205111707455441
"KAB. KUNINGAN",-0.546375632841022,-0.549482599912745,-0.512939248161677,-0.510759547217932,-0.478503486389103,-0.418069452039544,-0.421581767102812,-0.28281994850484,0.243429521778442,-0.410137476227241,-0.524754684858058,0.939173964910216,0.991295100105264,0.40424644094557,0.489262262003214,0.599224996150995,0.123547521779422,0.205249179814858,1.83876016530958,-1.05610708945142
"KAB. MAJALENGKA",-0.564860690035383,-0.575988254082933,-0.586216283613345,-0.566130283400001,-0.540903941040472,-0.406381488864245,-0.45002535884412,-0.623408068309576,-0.571364172010897,-0.575448771277369,-0.490387879300603,1.53853771342564,1.34926277514328,1.40646133365659,1.14723564883512,2.24765480766001,0.198687535025387,1.29396222057193,0.173384592164326,-0.356399775365838
"KAB. PANGANDARAN",-0.564860690035383,-0.567153036026203,-0.595375913044804,-0.547673371339312,-0.439503202231997,-0.438523387596317,-0.478468950585428,-0.682640784797356,-0.678130242231569,-0.64117494882742,-0.76532232376024,-2.33512799457222,1.84146832832054,1.93326659777392,0.824699674897913,0.759691614970456,2.60316795889625,3.02519443292335,-2.33903545352894,2.61262855737569
"KAB. PURWAKARTA",-0.407737703883313,-0.408119111005075,-0.457981471572926,-0.529216459278622,-0.470703429557682,-0.289501857111254,-0.33883677294628,-0.633985339110965,-0.595714328377015,-0.475863653777292,-0.524754684858058,-0.0930636019774669,-0.138540374233461,-0.0454653698862988,0.011909020576143,0.394994754017135,-0.0455175080239978,-1.15118018243986,2.47045434822674,0.0218203944101532
"KAB. SUBANG",-0.343040003703049,-0.302096494324323,-0.329746659532507,-0.298505058520001,-0.228901667783627,-0.304111811080378,-0.367280364687588,-0.646678064072633,-0.623810662645613,-0.479847058477295,-0.352920657070784,-0.0486662872726203,-0.104980904698648,-0.199652276457225,-0.000992418381345373,-0.582392833337765,0.781022637681612,-0.580052029911556,0.91993226288461,1.98856527724531
"KAB. SUKABUMI",-0.389252646688952,-0.381613456834887,-0.412183324415634,-0.298505058520001,-0.330302406592102,-0.426835424421018,-0.475883169518036,-0.418209014762623,-0.363451298423273,-0.444992267352268,-0.627855101530422,-0.0375669585964089,-0.09379441485371,0.00593026563734342,0.0764162153635851,-0.378162591203905,0.668312617812665,0.651443048977594,0.604085171426028,-0.24293372443304
"KAB. SUMEDANG",-0.52789057564666,-0.505306509629098,-0.531258507024594,-0.529216459278622,-0.509703713714787,-0.362551626956873,-0.452611139911512,-0.458402643807903,-0.640668463206772,-0.521672807827327,-0.559121490415512,0.473002160509326,0.734005833671693,0.442793167588302,0.824699674897913,1.28485509474324,-0.796917640483642,-0.294487953647406,-0.156819185269645,-1.26412818282822
"KAB. TASIKMALAYA",-0.564860690035383,-0.567153036026203,-0.604535542476263,-0.603044107521381,-0.540903941040472,-0.383005562513647,-0.45002535884412,-0.650908972393188,-0.635049196353052,-0.658104418802433,-0.696588712645331,1.61623301415913,1.59536555173191,2.10030241322576,2.0632378148168,2.24765480766001,-0.177012531204436,-0.580052029911556,0.776365403130709,0.929548801872531
"KOTA BANDUNG",1.04333928587404,1.00551577807162,1.38310404415024,0.947336505576554,0.387302821898641,0.622159270562074,0.395525050192943,0.326430849655184,0.389530459975151,0.621564341073559,0.953017954112492,-0.903314595340917,-0.921594663379113,-0.906342264907305,-1.3814463868326,-1.22425930861561,-1.05990768684452,-0.812072841876179,-1.11871714562078,-0.432043809321036
"KOTA BEKASI",2.83638983372707,2.82557069775787,2.11587439866692,2.59923013500828,2.93792140577334,4.458733182854,4.18369431392168,2.50746408890166,2.04534109287119,3.18787281905055,2.63699142642777,-1.02540721077924,-0.98871360244874,-0.854946629383662,-0.904093145405534,-0.961677568729219,-0.909627660352589,-0.990550389541273,-0.96079359989149,-1.15066213189542
"KOTA BOGOR",0.174541597739064,0.166170062682333,0.146554070903336,0.384400687725518,0.285902083090166,0.131264817199513,0.157633191992913,0.512590815759636,0.458834751171025,0.392518570823381,0.574983092980491,-0.914413924017128,-0.876848703999361,-0.700759722812736,-0.465444220850928,-0.874150322100422,-0.59028260405724,-0.526508765612028,-0.314742730998936,-0.450954817809835
"KOTA CIMAHI",-0.102734260176353,-0.0988864790195477,-0.155713700334795,-0.178535130125518,-0.205501497289364,-0.34794167298775,-0.325907867609322,-0.386477202358456,-0.243573605543922,-0.416112583277246,-0.627855101530422,-0.681328021816684,-0.597186457875914,-0.752155358336378,-0.542852854595858,-0.567804958899632,-0.101872517958471,0.240944689347877,-0.156819185269645,0.0218203944101532
"KOTA CIREBON",-0.555618161438202,-0.558317817969474,-0.55873739531897,-0.566130283400001,-0.400502918074892,-0.415147461245719,-0.387966613226721,-0.426670831403735,-0.505806058717502,-0.506735040202316,-0.181086629283511,1.72722630092124,1.57299257204203,0.635526800801959,1.67619464609215,1.22650359699071,0.0296225052219667,0.0803148964492923,-0.845940112088369,0.362218547208545
"KOTA DEPOK",3.32624384937764,3.35568378116163,3.59057473713174,3.30982124934484,3.15632299705314,1.21824539250233,1.53844028198004,2.60689043443472,3.00623572485723,2.37027900437491,2.91192587088741,-0.958811238721975,-0.955154132913926,-1.08622698924005,-1.13631904664033,-1.29719868080627,-0.872057653729607,-0.829920596642688,-0.587519764531348,-0.280755741410639
"KOTA SUKABUMI",-0.0750066743848117,-0.0900512609628184,-0.155713700334795,-0.206220498216552,-0.439503202231997,-0.40345949807042,-0.491397855922386,-0.574752622623185,-0.537648570888579,-0.425075243852252,-0.627855101530422,-0.670228693140472,-0.67549188679048,-0.585119542884541,-0.517049976680881,-1.07838056423428,0.518032591320736,1.2225712015059,-0.745443310260638,-0.999374063985022
"KOTA TASIKMALAYA",-0.416980232480493,-0.425789547118534,-0.448821842141468,-0.529216459278622,-0.525303827377629,-0.391771534895121,-0.444853796709337,-0.661486243194578,-0.644414641109251,-0.65412101410243,-0.662221907087876,-0.18185823138716,-0.09379441485371,-0.00691864324356713,0.60537521262061,-0.0426414791268501,0.348967561517316,0.00892387738325492,1.03478575068773,1.93183225177891
